Unnamed: 0,duration,original_sr,suspicious_diff,min amplitude,max amplitude,max_magnitude1,max_magnitude2,max_magnitude3,min_magnitude1,min_magnitude2,min_magnitude3,RTP_ssrc,RTP_payload_length,RTP_payload_type,Flushed_packets,isMalicious,Lost_packets_count,Lost_packets_precentage
0,5.36,8000.0,True,-0.0731427446007728,0.0913327634334564,32.60211563110352,32.07278060913086,30.905298233032227,7.665401646761437e-11,1.352941231269611e-10,1.5756408677791709e-10,2589934249,160,0 (ITU-T G.711 PCMU),268,False,0,0.0
1,245.02,8000.0,True,-0.2056167870759964,0.2031009644269943,86.92464447021484,80.57649993896484,79.1354751586914,4.743184577743476e-12,5.38591393706156e-12,1.5952534432317478e-11,404681085,160,0 (ITU-T G.711 PCMU),12251,False,46,0.37
2,248.24,8000.0,True,-0.7256602644920349,0.6483933329582214,288.6971130371094,285.1927185058594,284.07989501953125,2.1719183797373062e-13,8.137932602098052e-13,1.2277960766138296e-12,2147903196,160,0 (ITU-T G.711 PCMU),12412,False,0,0.0
3,246.9,8000.0,True,-0.7256603240966797,0.6483932733535767,286.8044738769531,273.3525390625,269.1352233886719,8.300969639310833e-14,2.1719183797373062e-13,8.137932602098052e-13,1740650554,160,0 (ITU-T G.711 PCMU),12345,False,35,0.28
4,44.64,8000.0,True,-0.673412561416626,0.8752958178520203,142.1526641845703,139.57260131835938,138.8282012939453,1.7346422909181314e-11,2.3830078535458377e-11,2.4261313444351448e-11,1430646649,160,0 (ITU-T G.711 PCMU),2232,False,0,0.0
5,35.96,8000.0,True,-0.1952046453952789,0.1640109419822693,66.71266174316406,52.41215896606445,51.3580207824707,2.350445706122972e-11,3.91823830325766e-11,7.258816464572604e-11,3854362330,160,0 (ITU-T G.711 PCMU),1798,False,0,0.0
6,44.36,8000.0,True,-0.673412561416626,0.8752958178520203,142.1526641845703,139.57260131835938,138.8282012939453,1.7346422909181314e-11,2.3830078535458377e-11,2.4261313444351448e-11,1953177697,160,0 (ITU-T G.711 PCMU),2218,False,0,0.0
7,35.32,8000.0,True,-0.1952046304941177,0.1640109568834304,64.61516571044922,54.44914245605469,54.1003303527832,2.6764904528797647e-11,3.2454056803077336e-11,5.2921264592775685e-11,10315295,160,0 (ITU-T G.711 PCMU),1766,False,9,0.51
8,147.36,8000.0,True,-1.096057653427124,1.047568917274475,440.0532836914063,422.5820617675781,407.8406372070313,3.417087576437772e-12,5.744285689474049e-12,1.0361224898891574e-11,4223332945,160,0 (ITU-T G.711 PCMU),7368,False,0,0.0
9,145.56,8000.0,True,-0.1483661979436874,0.3034029901027679,97.98680877685548,93.97772216796876,93.67488098144533,3.051437574841387e-11,3.408976573249234e-11,3.486983271572264e-11,261674904,160,0 (ITU-T G.711 PCMU),7278,False,0,0.0
10,147.14,8000.0,True,-1.096057653427124,1.047568917274475,440.0532836914063,422.5820617675781,407.8406372070313,3.417087576437772e-12,5.744285689474049e-12,1.0361224898891574e-11,838004571,160,0 (ITU-T G.711 PCMU),7357,False,0,0.0
11,63.88,8000.0,True,-0.1560969352722168,0.141799122095108,61.17898178100586,52.010215759277344,50.491477966308594,1.4924263214144418e-11,5.291770147075603e-11,7.03932398482543e-11,1296098575,160,0 (ITU-T G.711 PCMU),3194,False,0,0.0
12,145.12,8000.0,True,-0.1483661979436874,0.3034029901027679,97.98680877685548,93.97772216796876,93.67488098144533,3.051437574841387e-11,3.408976573249234e-11,3.486983271572264e-11,1215558181,160,0 (ITU-T G.711 PCMU),7256,False,0,0.0
13,148.97002267573697,8000.0,True,-1.1713253259658811,0.7058616876602173,252.5765838623047,238.44317626953125,235.35037231445312,4.738986980612481e-13,1.4019826966027438e-12,6.829475786979122e-12,2038518461,160,0 (ITU-T G.711 PCMU),7468,False,0,0.0
14,138.8285260770975,8000.0,True,-0.4309858679771423,0.7615010738372803,301.6690673828125,299.6717834472656,298.8276062011719,1.2218312299416834e-11,3.4578541419083564e-11,5.67172975252106e-11,1769230280,160,0 (ITU-T G.711 PCMU),6944,False,0,0.0
15,160.67251700680274,8000.0,True,-1.1649515628814695,0.679957926273346,185.4884490966797,174.3157196044922,166.68939208984375,7.916952141605317e-13,8.317501960612705e-13,9.365373060399309e-13,3440537676,160,0 (ITU-T G.711 PCMU),8058,False,0,0.0
16,143.8146485260771,8000.0,True,-0.5600795745849609,0.7630093097686768,455.5908508300781,434.43646240234375,398.8557739257813,4.665723710162162e-11,6.684168496473575e-11,7.89248943977583e-11,1597601948,160,0 (ITU-T G.711 PCMU),7192,False,0,0.0
17,158.67251700680274,8000.0,True,-1.165030598640442,0.6800544261932373,52.99034881591797,52.869049072265625,50.69471740722656,2.019225715452211e-12,2.465326120332234e-12,3.846831707343679e-12,3408536109,160,0 (ITU-T G.711 PCMU),7958,False,0,0.0
