Unnamed: 0,duration,original_sr,suspicious_diff,min amplitude,max amplitude,max_magnitude1,max_magnitude2,max_magnitude3,min_magnitude1,min_magnitude2,min_magnitude3,RTP_ssrc,RTP_payload_length,Flushed_packets,isMalicious,Lost_packets_count,Lost_packets_precentage
36,147.36,8000,TRUE,-1.096057653,1.047568917,440.0532837,422.5820618,407.8406372,3.42E-12,5.74E-12,1.04E-11,4223332945,160,7368,FALSE,0,0
37,145.12,8000,TRUE,-0.148366198,0.30340299,97.98680878,93.97772217,93.67488098,3.05E-11,3.41E-11,3.49E-11,1215558181,160,7256,FALSE,0,0
38,148.9700227,8000,TRUE,-1.171325326,0.705861688,252.5765839,238.4431763,235.3503723,4.74E-13,1.40E-12,6.83E-12,2038518461,160,7468,FALSE,0,0
39,138.8285261,8000,TRUE,-0.430985868,0.761501074,301.6690674,299.6717834,298.8276062,1.22E-11,3.46E-11,5.67E-11,1769230280,160,6944,FALSE,0,0
40,84.7,8000,TRUE,-0.088488862,0.095517516,93.16078186,89.75054932,81.6986618,1.47E-11,2.30E-11,3.02E-11,3819835773,160,4235,FALSE,0,0
41,83.78,8000,TRUE,-0.972179353,0.864935696,275.9651184,270.5077515,266.5802917,5.81E-12,6.18E-12,6.93E-12,229438970,160,4189,FALSE,0,0
42,251.52,8000,TRUE,-0.112764046,0.115305148,62.47332764,61.60915375,55.37866592,1.15E-11,1.33E-11,1.35E-11,1629143389,160,12576,FALSE,0,0
43,251,8000,TRUE,-0.745195389,0.63974607,271.051239,267.8344727,258.1073303,3.79E-12,4.00E-12,6.88E-12,996715222,160,12550,FALSE,0,0
44,56.2,8000,TRUE,-0.369277239,0.561691999,142.2786407,130.679718,128.6907501,4.21E-11,4.47E-11,5.17E-11,800515347,160,2810,FALSE,1,0.04
45,56.14,8000,TRUE,-0.116523422,0.125414178,56.55752563,49.16480255,49.1604805,3.23E-11,5.21E-11,7.72E-11,1778397840,160,2807,FALSE,0,0
46,104.892517,8000,TRUE,-1.164967895,0.680024922,59.40431976,56.94203186,52.78727341,8.88E-12,1.71E-11,3.65E-11,3227343669,160,5269,FALSE,0,0
47,87.63464853,8000,TRUE,-0.560079575,0.76300931,453.8529968,434.9571228,390.4552612,3.18E-11,7.08E-11,1.21E-10,1592668926,160,4383,FALSE,0,0
48,2.360544218,8000,FALSE,-0.476876229,0.612490892,317.433197,314.4564819,297.8348999,6.92E-09,1.93E-08,2.35E-08,293514714,4,119,FALSE,0,0
